ZIP,propertyType,propertyGlobalType,bedrooms,bathrooms,sizeSqFeetMax,pricePerSqFoot(k),price(M)
WC2R,Apartment,Flat,4.0,4.0,4643.0,2.91,13.5
N2,Detached,House,6.0,8.0,9806.0,1.38,13.5
NW11,Detached,House,7.0,10.0,9300.0,1.18,11.0
NW3,Detached,House,6.0,4.0,4355.0,2.51,10.95
NW1,Terraced,House,4.0,3.0,4619.0,2.37,10.95
SW1X,Terraced,House,4.0,4.0,3300.0,3.33,10.99
SW1X,Apartment,Flat,3.0,3.0,2442.0,4.48,10.95
NW8,Flat,Flat,4.0,4.0,3423.0,3.21,11.0
W1K,Flat,Flat,4.0,5.0,2703.0,4.07,11.0
SW1X,Flat,Flat,5.0,5.0,4558.0,2.41,11.0
NW8,Penthouse,Flat,4.0,3.0,3617.0,3.04,11.0
SW1X,Apartment,Flat,5.0,4.0,4649.0,2.37,11.0
SW3,Terraced,House,5.0,5.0,5440.0,2.2,11.95
SW3,Terraced,House,6.0,4.0,5212.0,2.29,11.95
W2,Terraced,House,10.0,8.0,11265.0,0.98,11.0
W8,Terraced,House,6.0,3.0,4182.0,2.75,11.5
NW3,Detached,House,6.0,7.0,5517.0,2.17,11.95
SE13,Detached,House,6.0,5.0,8488.0,1.35,11.5
W1W,Penthouse,Flat,4.0,4.0,3176.0,3.46,11.0
SW1W,Apartment,Flat,4.0,3.0,3887.0,2.96,11.5
NW3,Terraced,House,5.0,5.0,8262.0,1.45,11.95
W8,House,House,6.0,6.0,4182.0,2.75,11.5
W8,Apartment,Flat,3.0,3.0,2257.0,4.96,11.2
SE1,Apartment,Flat,3.0,3.0,3100.0,3.85,11.95
SW1X,Terraced,House,4.0,5.0,4122.0,2.73,11.25
SW1W,House,House,4.0,4.0,3310.0,3.47,11.5
NW3,Detached,House,5.0,5.0,8262.0,1.45,11.95
SE1,Penthouse,Flat,4.0,4.0,4096.0,2.81,11.5
N2,Detached,House,9.0,8.0,14769.0,0.81,11.95
W2,Apartment,Flat,3.0,3.0,2327.0,4.83,11.25
SE1,Penthouse,Flat,3.0,3.0,3107.0,3.85,11.95
W1K,Terraced,House,5.0,5.0,3927.0,2.86,11.25
SW1X,Terraced,House,5.0,5.0,4122.0,2.73,11.25
SW3,Terraced,House,5.0,4.0,4354.0,2.75,11.995
W1J,Terraced,House,4.0,5.0,5017.0,2.39,12.0
SW1X,Penthouse,Flat,4.0,3.0,3013.0,3.82,11.5
W1K,House,House,4.0,4.0,3834.0,2.93,11.25
SW1E,Apartment,Flat,3.0,3.0,5189.0,2.31,12.0
SW1E,Apartment,Flat,3.0,4.0,3829.0,3.0,11.5
EC1V,Penthouse,Flat,5.0,5.0,7800.0,1.54,12.0
SW1W,Terraced,House,4.0,3.0,3310.0,3.47,11.5
SE1,Apartment,Flat,5.0,4.0,4095.0,2.83,11.59
W2,Apartment,Flat,3.0,3.0,2319.0,5.07,11.75
N2,Apartment,Flat,7.0,7.0,7468.0,1.57,11.7
SW19,Detached,House,7.0,7.0,9031.0,1.33,12.0
SW1X,Flat,Flat,3.0,3.0,3084.0,3.82,11.795
W2,Flat,Flat,4.0,5.0,3634.0,3.3,12.0
W2,Apartment,Flat,3.0,3.0,2351.0,5.0,11.75
NW1,Terraced,House,5.0,4.0,4425.0,2.71,12.0
SW1W,Terraced,House,6.0,4.0,3911.0,3.04,11.9
N2,Detached,House,8.0,10.0,11224.0,1.09,12.25
W2,Apartment,Flat,3.0,3.0,3123.0,4.0,12.5
SW3,House,House,6.0,4.0,5188.0,2.3,11.95
SW10,Flat,Flat,9.0,8.0,5114.0,2.44,12.5
SW15,Detached,House,8.0,8.0,12141.0,1.03,12.5
W1K,Apartment,Flat,3.0,3.0,1477.0,2.67,3.95
E14,Flat,Flat,2.0,2.0,734.0,0.85,0.625
SW8,Flat,Flat,5.0,5.0,3664.0,2.93,10.747
SW7,Apartment,Flat,4.0,4.0,3324.0,3.01,10.0
W8,House,House,6.0,5.0,4376.0,2.29,10.0
SW1P,Terraced,House,10.0,7.0,7842.0,1.28,10.0
SW8,Apartment,Flat,5.0,4.0,3483.0,2.91,10.13
Nine Elms SW8,Apartment,Flat,4.0,5.0,3354.0,3.02,10.13
SW8,Apartment,Flat,5.0,5.0,3553.0,2.85,10.13
SW8,Flat,Flat,5.0,5.0,3449.0,3.12,10.747
W8,Terraced,House,6.0,5.0,4151.0,2.59,10.75
SW7,Apartment,Flat,4.0,5.0,3580.0,3.0,10.75
SW1X,Apartment,Flat,3.0,3.0,2475.0,4.34,10.75
St John's Wood NW8,Terraced,House,5.0,4.0,6025.0,1.78,10.75
SW1X,Flat,Flat,3.0,3.0,3567.0,2.87,10.25
Chelsea SW3,Terraced,House,5.0,3.0,4211.0,2.43,10.25
SW1X,Apartment,Flat,5.0,5.0,2475.0,4.34,10.75
SW1X,Apartment,Flat,3.0,4.0,3137.0,3.27,10.25
SW1X,Apartment,Flat,3.0,3.0,2475.0,4.34,10.75
SW1W,Terraced,House,7.0,4.0,4332.0,2.5,10.85
SW1X,Apartment,Flat,3.0,3.0,3166.0,3.24,10.25
W1J,Terraced,House,8.0,5.0,4180.0,2.51,10.5
W8,Terraced,House,5.0,5.0,5314.0,1.98,10.5
SW7,Terraced,House,7.0,7.0,5280.0,2.07,10.95
SW3,Detached,House,8.0,6.0,3534.0,3.1,10.95
Kensington W8,House,House,6.0,5.0,6459.0,1.7,10.95
W2,Apartment,Flat,3.0,3.0,2325.0,4.52,10.5
W1J,Terraced,House,4.0,4.0,3169.0,3.46,10.95
SW1X,Terraced,House,6.0,6.0,5360.0,1.96,10.5
NW3,Detached,House,8.0,5.0,5649.0,1.94,10.95
W1J,Terraced,House,4.0,4.0,3169.0,3.46,10.95
SW1X,Terraced,House,5.0,4.0,4752.0,2.3,10.95
NW1,Terraced,House,4.0,3.0,4619.0,2.37,10.95
SW1X,Apartment,Flat,3.0,3.0,2442.0,4.48,10.95
W2,Apartment,Flat,3.0,3.0,2325.0,4.52,10.5
W1K,Penthouse,Flat,3.0,3.0,2410.0,4.36,10.5
SW7,Terraced,House,7.0,7.0,5276.0,2.08,10.95
SW1X,Apartment,Flat,3.0,3.0,2442.0,4.48,10.95
NW3,Detached,House,6.0,3.0,4355.0,2.51,10.95
SW8,Apartment,Flat,5.0,6.0,3114.0,3.45,10.747
N2,Detached,House,5.0,5.0,8776.0,1.25,10.95
SW17,House,House,3.0,1.0,911.0,0.87,0.795
E14,Flat,Flat,2.0,2.0,915.0,0.57,0.525
W11,House,House,4.0,5.0,3501.0,3.13,10.95
NW1,Terraced,House,4.0,4.0,4629.0,2.15,9.95
W8,Terraced,House,5.0,6.0,4032.0,2.42,9.75
SW15,Detached,House,8.0,7.0,11609.0,0.84,9.75
London SW1W,Flat,Flat,4.0,4.0,3698.0,2.64,9.75
W8,Terraced,House,6.0,6.0,4032.0,2.42,9.75
EC2A,Flat,Flat,3.0,4.0,2855.0,3.47,9.9
EC2A,Flat,Flat,3.0,4.0,2855.0,3.47,9.9
EC2A,Flat,Flat,2.0,2.0,2855.0,3.47,9.9
EC2A,Penthouse,Flat,4.0,4.0,2855.0,3.47,9.9
N6,Detached,House,7.0,7.0,6228.0,1.6,9.95
EC2A,Penthouse,Flat,3.0,3.0,2855.0,3.47,9.9
N6,Detached,House,7.0,6.0,5522.0,1.8,9.95
W2,Apartment,Flat,3.0,4.0,1959.0,5.08,9.95
EC2A,Penthouse,Flat,3.0,3.0,2855.0,3.47,9.9
EC2A,Penthouse,Flat,3.0,3.0,2850.0,3.47,9.9
TW7,Detached,House,8.0,7.0,10283.0,0.97,9.95
NW8,Penthouse,Flat,5.0,5.0,4765.0,2.09,9.95
EC2A,Flat,Flat,3.0,3.0,2855.0,3.47,9.9
EC2A,Penthouse,Flat,3.0,4.0,1373.0,7.21,9.9
W2,Apartment,Flat,3.0,3.0,1963.0,5.07,9.95
W9,House,House,5.0,4.0,4079.0,2.44,9.95
EC2A,Flat,Flat,3.0,3.0,2855.0,3.47,9.9
EC2A,Flat,Flat,3.0,3.0,2855.0,3.47,9.9
EC2A,Apartment,Flat,2.0,2.0,2885.0,3.43,9.9
NW1,House,House,5.0,4.0,4185.0,2.38,9.95
SW1E,Penthouse,Flat,5.0,4.0,3420.0,2.91,9.95
NW1,Terraced,House,5.0,5.0,4185.0,2.38,9.95
SW1E,Penthouse,Flat,4.0,4.0,3467.0,2.87,9.95
NW8,Apartment,Flat,5.0,5.0,4765.0,2.09,9.95
NW8,House,House,6.0,5.0,5479.0,1.82,9.95
W11,House,House,5.0,4.0,4261.0,2.34,9.95
SW7,House,House,12.0,8.0,8791.0,1.13,9.975
NW3,Detached,House,6.0,6.0,7288.0,1.37,9.995
SW1A,Apartment,Flat,2.0,2.0,1999.0,5.0,10.0
SW19,Detached,House,6.0,6.0,6065.0,1.65,10.0
W1K,Apartment,Flat,3.0,3.0,2558.0,3.91,10.0
SE1,Flat,Flat,5.0,5.0,4943.0,2.02,10.0
SE21,Detached,House,6.0,6.0,7847.0,1.27,10.0
SW7,Apartment,Flat,4.0,3.0,2736.0,3.65,10.0
SW8,Apartment,Flat,5.0,4.0,3483.0,2.87,10.0
SW8,Penthouse,Flat,5.0,4.0,3179.0,3.15,10.0
W8,Terraced,House,6.0,5.0,4401.0,2.27,10.0
W8,Terraced,House,6.0,5.0,4401.0,2.27,10.0
SW3,Terraced,House,5.0,5.0,2924.0,3.42,10.0
SW7,Flat,Flat,4.0,4.0,3324.0,3.01,10.0
N2,Penthouse,Flat,4.0,5.0,6015.0,1.66,10.0
SW8,Penthouse,Flat,5.0,5.0,3483.0,2.76,9.601
W9,House,House,2.0,2.0,3606.0,2.57,9.25
SW3,House,House,4.0,3.0,2944.0,3.14,9.25
W11,Flat,Flat,3.0,3.0,3165.0,2.92,9.25
NW8,House,House,6.0,7.0,5277.0,1.77,9.35
NW8,House,House,6.0,7.0,5092.0,1.84,9.35
SW1W,Penthouse,Flat,3.0,3.0,2425.0,3.9,9.45
SW1W,Penthouse,Flat,3.0,3.0,2424.0,3.9,9.45
SW1W,Flat,Flat,3.0,3.0,2424.0,3.9,9.45
NW8,House,House,6.0,4.0,5070.0,1.87,9.5
NW3,Detached,House,7.0,5.0,4817.0,1.97,9.5
NW1,Terraced,House,6.0,4.0,3303.0,2.88,9.5
EC2A,Apartment,Flat,3.0,3.0,2855.0,3.33,9.5
NW3,Detached,House,7.0,4.0,4817.0,1.97,9.5
SW3,House,House,4.0,4.0,5450.0,1.74,9.5
SW1W,Apartment,Flat,4.0,4.0,3443.0,2.76,9.5
EC2A,Flat,Flat,3.0,3.0,2852.0,3.33,9.5
NW8,House,House,5.0,4.0,4610.0,2.06,9.5
SW1W,Flat,Flat,4.0,4.0,3491.0,2.72,9.5
SW1W,Apartment,Flat,4.0,4.0,3490.0,2.72,9.5
SW3,House,House,4.0,4.0,5450.0,1.74,9.5
W8,Terraced,House,5.0,3.0,4747.0,2.0,9.5
EC2A,Penthouse,Flat,3.0,4.0,2855.0,3.33,9.5
SW8,Penthouse,Flat,5.0,4.0,3179.0,3.02,9.601
SW8,Apartment,Flat,5.0,5.0,3114.0,3.08,9.601
SW8,Apartment,Flat,5.0,4.0,3114.0,3.08,9.601
SW8,Apartment,Flat,5.0,6.0,3114.0,3.08,9.601
SW3,Terraced,House,6.0,7.0,3645.0,2.65,9.65
SW1W,Apartment,Flat,4.0,4.0,2392.0,4.07,9.74
SW10,Apartment,Flat,5.0,4.0,4208.0,2.31,9.7
SW6,Terraced,House,6.0,4.0,2689.0,1.39,3.75
SW1W,Apartment,Flat,4.0,4.0,2392.0,4.07,9.74
SE1,Apartment,Flat,3.0,4.0,3345.0,2.77,9.25
W8,Flat,Flat,4.0,3.0,2814.0,3.18,8.95
NW8,Flat,Flat,6.0,6.0,3690.0,2.39,8.825
NW8,Apartment,Flat,6.0,6.0,3690.0,2.39,8.825
NW8,Apartment,Flat,6.0,6.0,3690.0,2.39,8.825
NW8,Apartment,Flat,6.0,6.0,3700.0,2.39,8.825
SW1X,Apartment,Flat,4.0,4.0,3486.0,2.57,8.95
N2,Detached,House,7.0,6.0,7661.0,1.17,8.95
N6,Detached,House,6.0,6.0,6900.0,1.3,8.95
NW3,Apartment,Flat,4.0,3.0,3599.0,2.49,8.95
W1K,Apartment,Flat,3.0,4.0,3398.0,2.63,8.95
NW11,Detached,House,10.0,10.0,12616.0,0.71,8.95
W8,Terraced,House,5.0,4.0,6146.0,1.46,8.95
W1K,Apartment,Flat,3.0,3.0,2461.0,3.64,8.95
W1K,Penthouse,Flat,5.0,2.0,1055.0,8.48,8.95
St John's Wood NW8,House,House,6.0,5.0,4565.0,1.96,8.95
W1K,Apartment,Flat,4.0,4.0,3228.0,2.77,8.95
W1G,House,House,3.0,3.0,2717.0,3.29,8.95
W1K,Apartment,Flat,3.0,3.0,2700.0,3.31,8.95
NW8,Detached,House,6.0,5.0,4565.0,1.96,8.95
SW3,Terraced,House,4.0,3.0,2917.0,3.07,8.95
W8,Terraced,House,5.0,3.0,3846.0,2.34,8.995
SW3,Terraced,House,5.0,3.0,2917.0,3.07,8.95
W1U,Apartment,Flat,3.0,3.0,2861.0,3.15,9.0
SW10,House,House,7.0,5.0,4812.0,1.87,8.99995
SW11,Apartment,Flat,6.0,7.0,6003.0,1.5,9.0
W1U,Apartment,Flat,3.0,3.0,2891.0,3.11,9.0
SW10,Terraced,House,8.0,5.0,5257.0,1.71,9.0
SW7,Flat,Flat,3.0,3.0,2731.0,3.3,9.0
SW11,Penthouse,Flat,6.0,7.0,5930.0,1.52,9.0
W2,Apartment,Flat,3.0,3.0,2386.0,3.77,9.0
E16,Flat,Flat,2.0,2.0,992.0,0.58,0.575
W1G,House,House,5.0,4.0,4182.0,2.15,9.0
W1S,Flat,Flat,2.0,2.0,1164.0,7.04,8.2
NW11,Detached,House,6.0,6.0,5497.0,1.55,8.5
W1K,Flat,Flat,3.0,3.0,2163.0,3.93,8.5
W1K,Flat,Flat,4.0,4.0,2868.0,2.96,8.5
NW3,Detached,House,5.0,4.0,3467.0,2.45,8.5
W1H,Apartment,Flat,6.0,6.0,4101.0,2.07,8.5
SW13,Detached,House,7.0,6.0,6179.0,1.38,8.5
EC2A,Penthouse,Flat,3.0,3.0,2990.0,2.88,8.625
W8,Terraced,House,5.0,5.0,3890.0,2.22,8.65
SW7,Apartment,Flat,4.0,4.0,4456.0,1.96,8.75
SW1A,Apartment,Flat,2.0,2.0,1425.0,6.14,8.75
N2,Detached,House,8.0,7.0,14999.0,0.58,8.75
SW1X,Apartment,Flat,3.0,4.0,2427.0,3.61,8.75
SW11,Penthouse,Flat,4.0,4.0,2602.0,3.36,8.75
SW1X,Penthouse,Flat,3.0,3.0,3060.0,2.86,8.75
SW1X,Apartment,Flat,3.0,3.0,2612.0,3.35,8.75
SW11,Flat,Flat,3.0,3.0,2841.0,3.08,8.75
W1U,Flat,Flat,3.0,2.0,1400.0,6.29,8.8
NW8,Apartment,Flat,6.0,6.0,3700.0,2.39,8.825
NW4,Flat,Flat,2.0,1.0,1012.0,0.47,0.475
SW10,Flat,Flat,5.0,5.0,3186.0,2.67,8.5
SW7,Apartment,Flat,3.0,3.0,2734.0,3.11,8.5
W1J,House,House,5.0,3.0,3794.0,2.24,8.5
W1K,Apartment,Flat,3.0,3.0,2029.0,4.19,8.5
W1U,Flat,Flat,3.0,3.0,2012.0,4.22,8.5
NW1,Penthouse,Flat,3.0,4.0,5979.0,1.42,8.5
W1K,Apartment,Flat,4.0,4.0,2595.0,3.28,8.5
W11,House,House,5.0,5.0,3500.0,2.43,8.5
NW1,Apartment,Flat,3.0,2.0,5979.0,1.42,8.5
W1K,Apartment,Flat,3.0,4.0,2163.0,3.93,8.5
W1H,Flat,Flat,6.0,6.0,4106.0,2.07,8.5
W1J,House,House,5.0,7.0,4230.0,2.01,8.5
W1K,Flat,Flat,4.0,4.0,2842.0,2.99,8.5
N6,Detached,House,5.0,4.0,6500.0,1.31,8.5
W8,Apartment,Flat,3.0,4.0,2584.0,3.19,8.25
W1K,Penthouse,Flat,3.0,3.0,3198.0,2.58,8.25
W12,Penthouse,Flat,4.0,3.0,4068.0,2.03,8.25
SW1X,Terraced,House,5.0,5.0,3122.0,2.66,8.3
SW1X,Apartment,Flat,4.0,4.0,2357.0,3.52,8.3
WC1A,Apartment,Flat,3.0,3.0,2133.0,3.9,8.325
W1K,Flat,Flat,5.0,2.0,3466.0,2.44,8.45
W1K,Flat,Flat,5.0,4.0,3466.0,2.44,8.45
W1K,Apartment,Flat,5.0,2.0,3466.0,2.44,8.45
W1K,Apartment,Flat,3.0,3.0,2479.0,3.37,8.35
W11,Apartment,Flat,5.0,5.0,4018.0,2.1,8.45
W1K,Apartment,Flat,5.0,3.0,3466.0,2.44,8.45
W2,House,House,6.0,5.0,4927.0,1.73,8.5
W11,Flat,Flat,5.0,4.0,4008.0,2.11,8.45
W1K,Flat,Flat,5.0,2.0,3466.0,2.44,8.45
SW8,Apartment,Flat,3.0,3.0,3360.0,2.53,8.5
NW1,Flat,Flat,3.0,3.0,5979.0,1.42,8.5
N20,Flat,Flat,3.0,2.0,1231.0,0.56,0.695
SW8,Flat,Flat,5.0,4.0,3031.0,2.6,7.87
SW8,Flat,Flat,5.0,4.0,3057.0,2.57,7.87
London SW8,Apartment,Flat,5.0,4.0,3059.0,2.57,7.87
W8,Penthouse,Flat,3.0,3.0,2103.0,3.77,7.92
SW11,Flat,Flat,5.0,5.0,3393.0,2.34,7.95
SW3,Terraced,House,7.0,6.0,3951.0,2.01,7.95
W2,Flat,Flat,4.0,3.0,4525.0,1.76,7.95
SW1X,Apartment,Flat,3.0,3.0,2029.0,3.92,7.95
SW3,Terraced,House,4.0,4.0,4277.0,1.86,7.95
SW1X,House,House,4.0,4.0,2810.0,2.83,7.95
SW11,Penthouse,Flat,5.0,5.0,3498.0,2.27,7.95
St John's Wood NW8,Detached,House,5.0,4.0,3400.0,2.34,7.95
W1G,Terraced,House,4.0,6.0,7150.0,1.11,7.95
W1K,Flat,Flat,4.0,4.0,3565.0,2.23,7.95
SW1X,Apartment,Flat,3.0,3.0,1980.0,4.02,7.95
N2,Detached,House,7.0,7.0,6840.0,1.16,7.95
W1S,Flat,Flat,3.0,3.0,2014.0,3.95,7.95
W1U,Penthouse,Flat,4.0,3.0,3737.0,2.13,7.95
W2,Apartment,Flat,3.0,3.0,2637.0,3.01,7.95
W8,Terraced,House,5.0,4.0,3175.0,2.5,7.95
SW7,Terraced,House,5.0,4.0,3100.0,2.56,7.95
SW1X,Terraced,House,5.0,4.0,3226.0,2.48,8.0
SW3,Apartment,Flat,4.0,4.0,3571.0,2.23,7.95
WC1N,Terraced,House,6.0,5.0,5520.0,1.45,8.0
W2,Terraced,House,8.0,7.0,5523.0,1.44,7.95
NW8,House,House,5.0,4.0,3393.0,2.34,7.95
W2,Apartment,Flat,4.0,4.0,4186.0,1.9,7.95
W1U,Penthouse,Flat,4.0,3.0,4044.0,1.97,7.95
NW8,Detached,House,5.0,4.0,3400.0,2.34,7.95
WC2E,Penthouse,Flat,3.0,4.0,3012.0,2.66,8.0
SW3,Terraced,House,5.0,6.0,4445.0,1.79,7.95
WC2E,Apartment,Flat,3.0,3.0,3013.0,2.66,8.0
N20,Detached,House,7.0,8.0,10228.0,0.78,8.0
SW3,Terraced,House,6.0,6.0,3628.0,2.19,7.95
SE8,Apartment,Flat,2.0,2.0,871.0,0.63,0.55
W1S,Apartment,Flat,3.0,4.0,1280.0,6.25,8.0
W11,Terraced,House,5.0,5.0,3774.0,2.12,8.0
SW1X,Terraced,House,4.0,4.0,2810.0,2.83,7.95
W2,Penthouse,Flat,3.0,3.0,1918.0,4.14,7.95
SW1A,Flat,Flat,2.0,2.0,1424.0,5.62,8.0
N2,Apartment,Flat,3.0,2.0,3292.0,2.42,7.98
SW8,Flat,Flat,5.0,5.0,3059.0,2.62,8.0
SW1A,Apartment,Flat,2.0,2.0,1700.0,4.7,7.995
W1H,Terraced,House,9.0,7.0,4511.0,1.77,7.995
NW3,Detached,House,5.0,3.0,4300.0,1.86,8.0
SW1A,Apartment,Flat,2.0,2.0,1706.0,4.69,7.995
SW6,Penthouse,Flat,3.0,4.0,5381.0,1.49,8.0
NW3,Detached,House,5.0,5.0,4300.0,1.86,8.0
NW2,Detached,House,13.0,10.0,10127.0,0.79,8.0
NW2,House,House,13.0,11.0,10192.0,0.78,8.0
